id;name
14cead2f-dba4-46e8-a4d9-e652873e2296;portals Account multi-byte
7b11a19e-2790-437e-ba36-1fb34d153554;Dinar Borders SMTP
f416b4ff-a009-473a-b435-367d2f31018a;Singapore explicit
4e183b05-290b-4252-9f15-958a2577a9f5;core
387dfc52-21c2-4983-b9b6-78bfcbd6f6ff;overriding Multi-tiered
da883b91-f28a-4420-9a80-da92b4959de4;indigo solution Account
09ed1c82-cc5a-49cd-9312-48a6f85f64d0;out-of-the-box harness methodology
35afc0ca-2234-400b-8cca-747844706f06;Green
8b9f80f2-1d11-4e1a-83bf-2a7f9f6f82b8;navigating Executive
2e385d2d-b5f2-42ae-be8b-699897ab4204;Orchestrator
