id;name
d947ea7e-289f-4ef4-b8fb-da35d13e344d;Texas
3ffe2187-fbfc-4c8c-9956-f76c0a7c339b;Arabia Handmade
338bbf5c-1bb8-4647-a08e-055c196839dc;Trace Steel
98f98fc8-4b45-4f09-8889-d2667e9cbceb;Producer
1d11ce5d-4d64-4f15-b90e-73864210d9f1;Canyon Ford
b7098d10-5a4c-4133-8418-a67c0b8e8046;revolutionary
0d09734a-195e-4946-9a87-ff679789eb29;Account Dynamic
63cf3cb4-049d-40d5-ab10-3bd38564801f;cross-platform Movies
d6621398-ae21-4e3e-82dd-d12353036c5b;ability initiative
a70cb85f-d240-4811-a285-172b41994b08;national Regional
