id;name
51d9f323-d6a3-488e-9839-13c142ee8237;Orchestrator envisioneer
17a2deaf-5c7f-4e1f-aff7-cf0860078ff2;orchid
ee21a6a6-cae7-4174-9a3a-aaa75290709e;connecting Avon
90792355-99b0-4da3-a1f7-b7e2e1db1dec;online Real index
1d527c55-a970-41be-8abc-fb8ecb31fd93;mobile
8e57cf0d-97bd-4673-971e-d6298475c7e7;Applications Lanka
b6ffeea4-4989-4040-9a1e-a38200b20199;Mountain
38ed28a1-e1f6-4bbb-81e1-472066d8d4bd;haptic coherent
2507651f-12d8-44c1-8161-4cda98c11f39;Lakes
5c74fd38-8b80-435a-9e62-2f01e237cb69;deploy Architect
